Track ID,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
0YWUf0FuvbOvAlrOAVaH8S,0.773,0.721,0.0294,0.232,1.61e-05,0.0349,0.971
34NC4w6FjY53pkMf130Kmf,0.248,0.985,0.27,7.55e-05,3.09e-06,0.589,0.272
6W0DcuZ8FqJjuX8CQwdyVS,0.322,0.761,0.032,0.00298,0.0,0.259,0.36
3VZQshi4COChhXaz7cLP02,0.714,0.905,0.0289,0.00855,2.55e-05,0.146,0.838
3hDBYE7YnUBO8Stzc4jOpr,0.522,0.919,0.0883,0.0426,0.0,0.128,0.825
4kRMsLX7bJqjIfK44qJ9h6,0.709,0.571,0.039,0.247,0.014,0.114,0.779
0hBoe0lGBmDbGpCr1LXbSx,0.228,0.135,0.0351,0.911,0.915,0.149,0.104
6sIMKlDiqj0WycflgaRJiH,0.629,0.949,0.0467,0.000764,0.001,0.0803,0.817
3iNXeaJNyljfM1t7z3diyL,0.56,0.914,0.054,0.0152,1.6e-06,0.882,0.749
5TA8EtUpB31TUc60Jk7pIn,0.438,0.588,0.0293,0.224,0.000471,0.447,0.22
72ahyckBJfTigJCFCviVN7,0.638,0.867,0.0331,0.144,0.000733,0.0846,0.805
0NN32Knbyo4gM1DKY9rdzg,0.494,0.571,0.0332,0.0394,0.000518,0.602,0.712
0mBkoM8r7KAQzZij5swTUL,0.87,0.699,0.0459,0.245,6.76e-06,0.0588,0.726
7nYvUtkQMx1v80S2FH2s9J,0.849,0.521,0.216,0.306,1.65e-06,0.115,0.763
1a6Jt6USVGKzbjYpcKMwPB,0.758,0.957,0.0357,0.039,0.0,0.133,0.966
4CCRGZiVKshOiQhDtoZOGc,0.261,0.131,0.0439,0.989,0.934,0.135,0.149
3KHNMiH125wqD2I47oxmvp,0.142,0.0194,0.0509,0.925,0.642,0.0807,0.0355
7qKua2wPHEY51Zc7p9mGKt,0.54,0.966,0.09,0.0758,0.0,0.577,0.597
7nemcVsXVFZF01iqpIIo2Y,0.456,0.863,0.0894,0.133,0.0545,0.0553,0.532
0mBkoM8r7KAQzZij5swTUL,0.87,0.699,0.0459,0.245,6.76e-06,0.0588,0.726
0Jw3cPBXlGnA6DEJrZSTI0,0.551,0.722,0.0529,0.571,0.000306,0.629,0.821
7HXtpmFjqt4Wv6T8y5lVz3,0.813,0.547,0.0344,0.00104,0.00335,0.0914,0.8
1W0VswPFsN0wmfi1SLLW9q,0.31,0.376,0.0313,0.286,0.485,0.199,0.0718
0ccE7u6mHbB1LaSc1ZIQWm,0.645,0.792,0.0304,0.00164,0.000126,0.0799,0.705
7aqpvd6E85MGmHSNQ0SCRZ,0.611,0.71,0.0305,0.0539,4.15e-05,0.0914,0.921
3eMYc6FK9XvyauIaxcJtRS,0.432,0.417,0.0357,0.00877,0.923,0.107,0.187
4YFcGTdgmEuw8xTO4XrxbB,0.438,0.73,0.0461,3.39e-05,0.553,0.0509,0.705
6UEfyhyfhYQsyipxOd95Ie,0.607,0.923,0.0948,0.0193,1.1e-06,0.0924,0.868
6UEfyhyfhYQsyipxOd95Ie,0.607,0.923,0.0948,0.0193,1.1e-06,0.0924,0.868
2VhJ5foC2BgBSlmgj0OZyi,0.135,0.888,0.0494,0.00341,0.00759,0.978,0.125
5uuJruktM9fMdN9Va0DUMl,0.814,0.672,0.0619,0.0435,0.0,0.061,0.933
0YWUf0FuvbOvAlrOAVaH8S,0.773,0.721,0.0294,0.232,1.61e-05,0.0349,0.971
5UWwZ5lm5PKu6eKsHAGxOk,0.412,0.882,0.0369,5.96e-05,0.00031,0.0805,0.356
1oQt6B3nVxU3hqovbfJlEY,0.311,0.958,0.102,0.273,0.0,0.984,0.517
7qKua2wPHEY51Zc7p9mGKt,0.54,0.966,0.09,0.0758,0.0,0.577,0.597
2aYzMMmzEusa5DTfXfPxPm,0.578,0.969,0.0731,0.0975,0.0,0.441,0.579
0tsgo8ibRNgUXBGEt3AVoS,0.418,0.984,0.0751,0.000456,0.0,0.384,0.268
4Z4xFENnvMnRDPpAx5wpaO,0.375,0.894,0.0974,0.0545,0.0,0.593,0.324
21E3m3rXhgWjQTo32scmfy,0.289,0.662,0.0347,0.0102,0.944,0.498,0.254
3aDUSpF3LexOr1lFKvPV2h,0.288,0.757,0.0652,0.0117,0.14,0.363,0.311
3yDhZq8f17SmumVmEyCaRN,0.862,0.624,0.0565,0.0192,0.000153,0.0465,0.882
2OSFREMR9mE2kiByPL3g71,0.602,0.485,0.0235,0.112,0.00462,0.138,0.35
7aqpvd6E85MGmHSNQ0SCRZ,0.611,0.71,0.0305,0.0539,4.15e-05,0.0914,0.921
5Q6Xzp25aXYxNJ4B6vBkcf,0.574,0.274,0.0286,0.0111,0.786,0.123,0.111
1aEiCQoYAqUSlCQSJGS8oC,0.348,0.161,0.0332,0.965,0.471,0.147,0.324
1N7ywhtxzqXJQXARVQ0wUr,0.355,0.296,0.0324,0.606,0.477,0.251,0.318
79eKD1HxgLkqerccORhNIK,0.508,0.648,0.0362,0.0034,0.76,0.108,0.11
66WcP7m4aqvw0n7I7L5a87,0.605,0.754,0.0262,0.0247,0.213,0.121,0.72
1M6aT0VOjcXPkFmjm2yBZd,0.573,0.873,0.0813,0.0117,0.000937,0.103,0.428
7yoHD1pvn5vssAAMImpuTy,0.367,0.461,0.0279,0.0863,0.00759,0.101,0.452
