Track ID,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
3bYLRndI3qoLQqgPalT8CY,0.714,0.828,0.0598,0.00514,0.154,0.32,0.208
089tprIgsyFSOrZpugamLI,0.624,0.68,0.0421,0.114,6.78e-05,0.0614,0.117
77BDJDKKWm11KXQh0Sv4Jf,0.817,0.776,0.303,0.0453,0.0,0.158,0.718
4c6PicLrAOwfkA7yEMwmI5,0.618,0.74,0.0375,0.343,0.00583,0.436,0.251
5GhUo54Y3EyfthHdz3cTkq,0.645,0.788,0.0348,0.00194,0.0252,0.0657,0.249
5ACwo10wriynSukEbWfclv,0.511,0.928,0.0648,0.00556,0.0,0.0605,0.195
69JVxHk5lLPAHdVulVTPi5,0.661,0.758,0.0864,0.0797,0.0,0.106,0.387
6m8SIT10j41SPpPFOknTmP,0.563,0.81,0.0522,0.00522,0.0,0.0846,0.495
5PjJaR0zdOjFtYuCkmH2WX,0.545,0.974,0.0359,0.000134,0.826,0.19,0.461
7m7wUp1RfcwQHHLl8DGcUS,0.628,0.964,0.129,0.0756,0.861,0.442,0.0231
4y78bEIRTzNe2RbGAnX8zU,0.755,0.557,0.0373,0.257,0.0524,0.103,0.21
6iC7vapdKp0XlKhxOkp8QJ,0.886,0.84,0.0502,0.0164,0.00622,0.329,0.203
0goj2jVaUvxQP2zsyt7Xol,0.752,0.812,0.183,0.287,2.45e-05,0.0897,0.58
1OSCfGPskfxarroklhA9LU,0.533,0.932,0.0368,0.000204,0.883,0.251,0.0554
0ozjY1Su7jqd7AGVywwpfw,0.498,0.962,0.104,5.94e-05,0.883,0.205,0.0675
1pltbjQmEo91Sosisz69LN,0.599,0.893,0.0578,0.00453,0.524,0.26,0.246
1bB9MnstJVnAqQSZxh1voj,0.478,0.908,0.0662,3.44e-05,0.00945,0.336,0.831
3cH2reyyuhl69KIHuuUKhv,0.517,0.793,0.0367,0.0214,0.00046,0.0892,0.176
1zClfAHEZOLRI7PWg0JZMk,0.663,0.782,0.0499,0.00292,0.323,0.941,0.0906
3qPXWPkEZgUhUgPifbE99z,0.6,0.99,0.337,0.00116,0.52,0.124,0.192
2GQEM9JuHu30sGFvRYeCxz,0.867,0.477,0.049,0.00843,0.175,0.113,0.614
5ZIrNbf3T3Qy6lCU2qRDZu,0.583,0.819,0.0287,0.0082,0.0433,0.0863,0.929
36UjTTrSwaAqLkAlf2Ooc4,0.748,0.614,0.407,0.0672,7.81e-05,0.106,0.57
5MYFw4T2gy52pOGBN4EYHS,0.789,0.881,0.0331,0.108,0.0,0.355,0.647
503OTo2dSqe7qk76rgsbep,0.816,0.775,0.234,0.16,0.00031,0.0543,0.527
6vBMMa2erexusV4XrgXea9,0.897,0.815,0.212,0.159,0.0,0.0637,0.804
2xTft6GEZeTyWNpdX94rkf,0.873,0.719,0.248,0.03,0.0,0.333,0.858
0Ed7MeXx64f6OcIuoTRCg1,0.765,0.88,0.116,0.176,1e-05,0.139,0.929
5ByAIlEEnxYdvpnezg7HTX,0.889,0.816,0.247,0.472,0.0,0.204,0.777
6rB9te7FuWMxFYKEWccFAQ,0.674,0.563,0.218,0.203,0.0,0.239,0.679
0KbIwqCAHmXWu7hrszXY6j,0.934,0.562,0.24,0.0476,1.31e-06,0.0608,0.712
0lOe1dR2TNkJMCjIcRuw6T,0.876,0.647,0.28,0.16,0.0,0.238,0.961
2nH5V9DKUQQvZQk1vgAGPT,0.594,0.383,0.223,0.22,1.73e-05,0.0891,0.463
5880eYQmXx3c3oD22IljIt,0.683,0.59,0.458,0.326,0.0,0.148,0.653
0RmaKedniCyNZX0405E2KY,0.401,0.737,0.0342,0.0844,2.63e-06,0.173,0.152
2P884dqfjksDMSzUZksfrS,0.383,0.887,0.0468,0.00562,0.00779,0.141,0.282
0G21yYKMZoHa30cYVi1iA8,0.453,0.987,0.0889,0.0195,0.283,0.268,0.316
4lPJoKw24HizeIcDLqaWeE,0.561,0.842,0.0566,0.239,0.412,0.0768,0.843
15pUq5xfLfD7NvTGt6NKGM,0.269,0.979,0.0781,0.00225,0.0015,0.979,0.29
6Th6ND8RQPywiyelecP5Lf,0.532,0.858,0.0599,0.00533,2.13e-06,0.751,0.495
1HlGblweLq0eAwnb0NY1EQ,0.457,0.794,0.0298,0.000384,7.26e-05,0.131,0.354
6eN1f9KNmiWEhpE2RhQqB5,0.268,0.98,0.103,0.0192,0.00709,0.182,0.395
0nRSoJxUMDqgwtHgUjOFnV,0.636,0.905,0.0453,0.091,0.422,0.105,0.357
2ZNAmdQfr8yDjoHJOUxFte,0.622,0.876,0.0409,0.000141,0.902,0.19,0.049
09c49mXu0SOt4qLc9QNlme,0.545,0.983,0.0498,0.142,0.923,0.0988,0.552
523XDGMjH8Gbzc8V6ek5cl,0.752,0.662,0.0361,0.0188,0.0935,0.212,0.371
089tprIgsyFSOrZpugamLI,0.624,0.68,0.0421,0.114,6.78e-05,0.0614,0.117
3BOcWxFUURAomDXRSDFve4,0.575,0.808,0.0439,0.0446,0.0,0.0693,0.232
3BOcWxFUURAomDXRSDFve4,0.575,0.808,0.0439,0.0446,0.0,0.0693,0.232
3BOcWxFUURAomDXRSDFve4,0.575,0.808,0.0439,0.0446,0.0,0.0693,0.232
