Owner,Track ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dave,340FrzH0Ji2keVAlX2FJZ5,At Your Funeral,Saves The Day,Stay What You Are,0.257,0.9359999999999999,2,-6.131,1,0.35700000000000004,0.00243,0.0,0.14,0.376,197.929
Dave,7CKLZEwboCy2juXMLsAHFt,Whoa Oh! (Me vs Everyone),Forever The Sickest Kids,Underdog Alma Mater,0.529,0.9229999999999999,2,-4.166,1,0.0764,0.0039299999999999995,0.0,0.33299999999999996,0.64,143.034
Dave,4HAWq1kBDMLSNq5UHWD7rH,Somewhere On Fullerton,Allister,Last Stop Suburbia,0.54,0.912,3,-4.662,1,0.0855,0.00315,0.0,0.124,0.828,96.958
Dave,1rUHLQEmtefobuukC1SVDf,Bouncing Off The Walls,Sugarcult,Start Static,0.47700000000000004,0.917,6,-4.692,1,0.0547,0.00295,0.0,0.268,0.71,150.974
Dave,6fx1fKIs5e0pBL5FpdC7RB,MakeDamnSure,Taking Back Sunday,Louder Now (Deluxe Edition),0.5529999999999999,0.8370000000000001,6,-5.608,1,0.0452,0.00941,0.0,0.37200000000000005,0.43200000000000005,140.495
Dave,0iWZd4aBNd3vNUF6crMiOp,Hold My Hand,New Found Glory,Coming Home,0.478,0.963,11,-3.299,1,0.0643,0.00298,0.0,0.165,0.899,164.641
Dave,6vFD3c1WI1zuKoyk22dMw3,Little Things,Good Charlotte,Good Charlotte,0.6859999999999999,0.84,1,-5.142,1,0.159,0.0601,5.38e-06,0.16399999999999998,0.7040000000000001,105.0
Dave,3B9W8NK6FiaNZCZFIzLdwo,In This Diary,The Ataris,"So Long, Astoria",0.5660000000000001,0.8320000000000001,8,-4.644,1,0.0603,0.00505,0.0,0.127,0.86,175.028
Dave,63k8KXOgawK2cNtvm2ZW8y,Can't Be Saved,Senses Fail,Still Searching,0.331,0.976,2,-3.242,1,0.113,9.11e-06,0.000117,0.319,0.426,170.05900000000003
Dave,6uzuW7L1t1UhnzbfXwtMtQ,The Curse of Curves,Cute Is What We Aim For,The Same Old Blood Rush With A New Touch,0.534,0.792,5,-4.512,1,0.0677,0.39,0.0,0.191,0.47700000000000004,145.881
Dave,3IlY76VbP31zwPY0S2EMjh,The Quiet Things That No One Ever Knows,Brand New,Deja Entendu,0.20199999999999999,0.797,6,-5.809,1,0.0729,0.0163,3.83e-06,0.0986,0.24600000000000002,80.28399999999999
Dave,0SUClY63fA1awioMFtMYeE,Pain,Jimmy Eat World,Futures,0.39,0.965,0,-3.38,0,0.11900000000000001,0.0181,0.0,0.583,0.195,168.00599999999997
Dave,3iwsyTZzOWHZbHffBEyi1N,Right Now,SR-71,Now You See Inside,0.524,0.9670000000000001,8,-3.322,1,0.0392,0.00028900000000000003,7.41e-06,0.324,0.731,116.273
Dave,0wGWmko6pOeimMMATKGz2I,Honestly,Cartel,Chroma,0.449,0.903,1,-4.949,1,0.0388,2.48e-05,0.0,0.133,0.583,144.52200000000002
