danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.257,0.936,2,-6.131,1,0.35700000000000004,0.00243,0.0,0.14,0.376,197.929
0.529,0.923,2,-4.166,1,0.0764,0.00393,0.0,0.333,0.64,143.034
0.54,0.912,3,-4.662,1,0.0855,0.00315,0.0,0.124,0.828,96.958
0.477,0.917,6,-4.692,1,0.0547,0.00295,0.0,0.268,0.71,150.974
0.5529999999999999,0.8370000000000001,6,-5.608,1,0.0452,0.00941,0.0,0.3720000000000001,0.4320000000000001,140.495
0.478,0.963,11,-3.299,1,0.0643,0.00298,0.0,0.165,0.899,164.641
0.6859999999999999,0.84,1,-5.142,1,0.159,0.0601,5.38e-06,0.16399999999999998,0.7040000000000001,105.0
0.5660000000000001,0.8320000000000001,8,-4.644,1,0.0603,0.00505,0.0,0.127,0.86,175.028
0.331,0.976,2,-3.242,1,0.113,9.11e-06,0.000117,0.319,0.426,170.05900000000003
0.534,0.792,5,-4.512,1,0.0677,0.39,0.0,0.191,0.477,145.881
0.202,0.797,6,-5.809,1,0.0729,0.0163,3.83e-06,0.0986,0.246,80.28399999999998
0.39,0.965,0,-3.38,0,0.119,0.0181,0.0,0.583,0.195,168.00599999999997
0.524,0.967,8,-3.322,1,0.0392,0.00028900000000000003,7.41e-06,0.324,0.731,116.273
0.449,0.903,1,-4.949,1,0.0388,2.48e-05,0.0,0.133,0.583,144.52200000000005
0.527,0.8809999999999999,1,-5.081,1,0.04,0.00233,0.0,0.116,0.467,152.334
0.404,0.98,2,-4.038,1,0.107,0.000193,0.0,0.0742,0.433,177.793
0.5429999999999999,0.878,11,-5.994,1,0.0472,0.0485,0.00101,0.125,0.189,144.157
0.597,0.931,11,-4.591,0,0.0984,0.127,0.0,0.0504,0.534,92.003
0.379,0.978,2,-3.144,1,0.093,0.004370000000000001,0.0,0.423,0.482,182.007
0.62,0.872,0,-5.351,1,0.0456,0.0013800000000000002,2.7600000000000007e-05,0.272,0.695,92.525
0.541,0.904,7,-3.0010000000000003,1,0.0435,0.00143,0.0,0.193,0.541,98.122
0.416,0.748,11,-4.83,1,0.0487,7.43e-05,0.0,0.0995,0.792,150.094
0.561,0.94,0,-2.843,1,0.0592,0.00222,0.0,0.125,0.654,116.99
0.422,0.904,0,-4.5310000000000015,1,0.102,0.02,4.49e-06,0.6859999999999999,0.32,163.929
0.449,0.8640000000000001,1,-3.892,1,0.0352,2.04e-05,0.0,0.108,0.713,167.15400000000002
0.435,0.95,8,-3.869,1,0.106,0.0004940000000000001,0.0,0.317,0.457,160.987
0.303,0.907,0,-4.447,1,0.0694,0.00645,2.3e-06,0.108,0.376,196.685
0.522,0.8809999999999999,7,-5.231,1,0.0847,0.00303,0.000147,0.0939,0.369,130.084
0.339,0.979,3,-1.899,1,0.0607,0.0073700000000000015,1.27e-06,0.0643,0.581,192.68
0.416,0.973,11,-3.911,1,0.105,0.000131,0.0,0.316,0.693,119.352
0.441,0.961,9,-4.7780000000000005,1,0.0598,5.23e-05,0.000211,0.0931,0.61,163.14700000000005
0.402,0.8590000000000001,1,-4.41,0,0.0466,0.0394,0.0,0.0745,0.514,95.31
0.322,0.922,4,-3.4760000000000004,1,0.192,0.0235,0.0,0.191,0.524,186.7
