Owner,Track_ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,alt-J,An Awesome Wave,0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071
4,54eZmuggBFJbV7k248bTTt,A Horse with No Name,America,America,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179
1,2LY0DjFGGF0JQugFzWSGpi,Chateau,Angus & Julia Stone,Chateau,0.661,0.585,5,-11.255,1,0.0367,0.658,0.876,0.102,0.606,129.98
1,3aAFZx6mlVu3WrwgNEK9yM,Just to Be with You,Aubrie Sellers,Just to Be with You,0.336,0.739,0,-5.394,0,0.0481,0.0325,5.90E-05,0.137,0.578,169.932
1,3e5Ee5GrNzSnCt2laIDm3S,Love Love Love - AU Master,Avalanche City,Love Love Love,0.519,0.494,6,-5.399,1,0.0263,0.188,0,0.159,0.243,99.909
1,3CAX47TnPqTujLIQTw8nwI,Old Pine,Ben Howard,Every Kingdom,0.401,0.364,5,-10.836,1,0.033,0.45,0.0503,0.162,0.224,129.568
1,3JeT6Xcv6MlEHHylk8SKQ1,lovers’ carvings,Bibio,Ambivalence Avenue,0.558,0.47,7,-5.5,1,0.0316,0.68,0.914,0.532,0.427,118.06
2,4E92bmgFiHxvy2SNjXjC3b,Blessings,Big Sean,Dark Sky Paradise (Deluxe),0.775,0.621,1,-7.634,1,0.295,0.332,0,0.122,0.15,118.843
2,4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),0.922,0.581,10,-7.495,1,0.27,0.00104,5.86E-05,0.105,0.595,140.022
4,2Nz6aF1umHh5Et6I5H581L,Hooked on a Feeling,Blue Swede,Hooked On A Feeling - 40th Anniversary Collection,0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208
4,3MHwnlgUI6R1wSamJ60Mi2,"Baby, Let Me Follow You Down - Live at Royal Albert Hall, London, UK - May 26, 1966",Bob Dylan,The Real Royal Albert Hall 1966 Concert (Live),0.289,0.902,2,-8.442,1,0.137,0.263,0.00497,0.584,0.335,136.315
1,4ijw7fy7LDYMZDqt6SGWIB,Girl from the North Country,Bob Dylan,The Essential Johnny Cash,0.607,0.323,7,-11.384,1,0.0317,0.885,0.000796,0.116,0.3,118.511
4,52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',0.389,0.396,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86
3,56Tl3UgyZTqfZtvFNS31wm,The Great Escape,Boys Like Girls,Boys Like Girls,0.423,0.94,1,-4.012,0,0.0635,0.00166,0,0.178,0.505,149.934
3,5OiaAaIMYlCZONyDBxqk4G,First Day Of My Life,Bright Eyes,"I'm Wide Awake, It's Morning",0.468,0.201,4,-17.024,1,0.0388,0.915,8.28E-05,0.0952,0.383,94.422
4,1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,Buffalo Springfield,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883
3,2TI2fw9FWPeah6N4k1b4NU,This Is Home,Cavetown,This Is Home,0.81,0.266,7,-12.478,1,0.0407,0.56,1.05E-06,0.0962,0.212,130.041
4,47bXIv24jthL4vzZy3j7CY,Strange Brew,Cream,Disraeli Gears (Deluxe Edition),0.603,0.563,2,-9.932,1,0.0283,0.47,1.04E-05,0.29,0.642,106.431
4,0OXmUaY4ajGoQ7JOAzotQJ,Helplessly Hoping,"Crosby, Stills & Nash","Crosby, Stills & Nash [Digital Version]",0.567,0.159,7,-13.648,1,0.0331,0.914,0,0.111,0.436,146.913
3,3ga0wQnRcupU6EA7AcoN0G,Sad and Deep,Danny Gonzalez,Sad and Deep,0.761,0.526,0,-8.619,1,0.252,0.415,0,0.26,0.667,149.85
